User,Question,Segment Type,Segment Description,Answer,Count,Percentage
221,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Instagram,0,0
222,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Facebook,1,1
223,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Snapchat,0,0
224,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Claremont McKenna College,Linkedin,0,0
225,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Instagram,0,0
226,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Facebook,0,0
227,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Snapchat,1,1
228,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Oregon,Linkedin,0,0
229,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Instagram,1,0.5
230,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Facebook,0,0
231,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Snapchat,1,0.5
232,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chaparral High School,Linkedin,0,0
233,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Instagram,1,1
234,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Facebook,0,0
235,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Snapchat,0,0
236,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Syracuse University,Linkedin,0,0
237,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Instagram,0,0
238,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Facebook,0,0
239,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Snapchat,1,1
240,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Waterloo,Linkedin,0,0
241,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Instagram,1,1
242,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Facebook,0,0
243,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Snapchat,0,0
244,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Mountain Vista High School,Linkedin,0,0
245,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Instagram,1,1
246,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Facebook,0,0
247,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Snapchat,0,0
248,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas State University,Linkedin,0,0
249,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Instagram,0,0
250,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Facebook,0,0
251,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Snapchat,1,1
252,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Illinois University Carbondale,Linkedin,0,0
253,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Instagram,0,0
254,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Facebook,1,1
255,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Snapchat,0,0
256,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,George Washington University,Linkedin,0,0
257,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Instagram,0,0
258,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Facebook,0,0
259,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Snapchat,1,1
260,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Louisville,Linkedin,0,0
261,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Instagram,0,0
262,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Facebook,0,0
263,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Snapchat,1,1
264,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Southern Methodist University,Linkedin,0,0
265,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Instagram,0,0
266,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Facebook,1,0.5
267,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Snapchat,1,0.5
268,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Minnesota,Linkedin,0,0
269,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Instagram,0,0
270,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Facebook,1,1
271,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Snapchat,0,0
272,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,York University,Linkedin,0,0
273,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Instagram,0,0
274,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Facebook,0,0
275,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Snapchat,0,0
276,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Santa Clara University,Linkedin,1,1
277,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Instagram,19,0.388
278,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Facebook,4,0.082
279,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Snapchat,24,0.49
280,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Indiana University,Linkedin,2,0.041
281,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Instagram,10,0.172
282,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Facebook,14,0.241
283,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Snapchat,32,0.552
284,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Berkeley",Linkedin,2,0.034
285,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Instagram,8,0.205
286,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Facebook,12,0.308
287,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Snapchat,16,0.41
288,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,College of William and Mary,Linkedin,3,0.077
289,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Instagram,7,0.189
290,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Facebook,9,0.243
291,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Snapchat,20,0.541
292,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Missouri,Linkedin,1,0.027
293,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Instagram,8,0.286
294,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Facebook,4,0.143
295,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Snapchat,16,0.571
296,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Virginia Tech,Linkedin,0,0
297,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Instagram,7,0.318
298,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Facebook,1,0.045
299,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Snapchat,13,0.591
300,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Purdue University,Linkedin,1,0.045
301,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Instagram,7,0.175
302,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Facebook,5,0.125
303,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Snapchat,27,0.675
304,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Appalachian State University,Linkedin,1,0.025
305,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Instagram,8,0.276
306,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Facebook,8,0.276
307,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Snapchat,12,0.414
308,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Emory University,Linkedin,1,0.034
309,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Instagram,9,0.29
310,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Facebook,4,0.129
311,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Snapchat,18,0.581
312,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arizona,Linkedin,0,0
313,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Instagram,9,0.3
314,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Facebook,9,0.3
315,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Snapchat,11,0.367
316,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Truman State University,Linkedin,1,0.033
317,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Instagram,21,0.328
318,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Facebook,11,0.172
319,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Snapchat,28,0.438
320,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin-Madison,Linkedin,4,0.063
321,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Instagram,8,0.348
322,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Facebook,2,0.087
323,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Snapchat,12,0.522
324,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio State University,Linkedin,1,0.043
325,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Instagram,69,0.217
326,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Facebook,59,0.186
327,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Snapchat,177,0.557
328,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? $90K-$240k,Linkedin,13,0.041
329,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Instagram,355,0.278
330,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Facebook,189,0.148
331,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Snapchat,685,0.537
332,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? No,Linkedin,46,0.036
333,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Instagram,145,0.238
334,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Facebook,108,0.177
335,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Snapchat,334,0.548
336,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,student loan debt? Yes,Linkedin,22,0.036
337,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Instagram,66,0.324
338,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Facebook,31,0.152
339,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Snapchat,100,0.49
340,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Didn't vote,Linkedin,7,0.034
341,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Instagram,40,0.245
342,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Facebook,17,0.104
343,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Snapchat,101,0.62
344,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make?  < $50K,Linkedin,5,0.031
345,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Instagram,27,0.26
346,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Facebook,20,0.192
347,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Snapchat,54,0.519
348,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Writing in Bernie,Linkedin,3,0.029
349,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Instagram,135,0.236
350,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Facebook,121,0.212
351,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Snapchat,297,0.519
352,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Hillary Clinton,Linkedin,19,0.033
353,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Instagram,103,0.312
354,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Facebook,55,0.167
355,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Snapchat,163,0.494
356,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2019,Linkedin,9,0.027
357,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Instagram,237,0.27
358,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Facebook,154,0.176
359,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Snapchat,450,0.513
360,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,closely identify as? White,Linkedin,36,0.041
361,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Instagram,171,0.268
362,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Facebook,117,0.183
363,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Snapchat,330,0.516
364,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? Mac 🖥,Linkedin,21,0.033
365,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Instagram,97,0.274
366,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Facebook,74,0.209
367,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Snapchat,170,0.48
368,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? Post-grad,Linkedin,13,0.037
369,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Instagram,93,0.252
370,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Facebook,60,0.163
371,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Snapchat,200,0.542
372,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Mac or PC? PC 💻,Linkedin,16,0.043
373,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Instagram,39,0.214
374,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Facebook,48,0.264
375,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Snapchat,86,0.473
376,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Graduation Year 2018,Linkedin,9,0.049
377,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Instagram,56,0.289
378,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Facebook,36,0.186
379,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Snapchat,93,0.479
380,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,your parents make? > $240K,Linkedin,9,0.046
381,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Instagram,1,0.5
382,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Facebook,1,0.5
383,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Snapchat,0,0
384,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 35 or older,Linkedin,0,0
385,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Instagram,0,0
386,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Facebook,0,0
387,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Snapchat,1,1
388,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 31-34,Linkedin,0,0
389,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Instagram,125,0.281
390,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Facebook,54,0.121
391,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Snapchat,253,0.569
392,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? In-between,Linkedin,13,0.029
393,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Instagram,166,0.279
394,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Facebook,124,0.209
395,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Snapchat,285,0.48
396,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Liberal 🔷,Linkedin,19,0.032
397,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Instagram,102,0.248
398,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Facebook,53,0.129
399,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Snapchat,234,0.568
400,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,What's your leaning? Conservative 🐘,Linkedin,23,0.056
401,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Instagram,1,0.167
402,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Facebook,2,0.333
403,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Snapchat,1,0.167
404,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 25-30,Linkedin,2,0.333
405,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Instagram,33,0.224
406,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Facebook,29,0.197
407,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Snapchat,79,0.537
408,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 18-24,Linkedin,6,0.041
409,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Instagram,18,0.254
410,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Facebook,8,0.113
411,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Snapchat,43,0.606
412,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 15-17,Linkedin,2,0.028
413,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Instagram,1,0.5
414,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Facebook,0,0
415,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Snapchat,1,0.5
416,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,is your age? 14 or younger,Linkedin,0,0
417,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Instagram,1116,0.265
418,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Facebook,711,0.169
419,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Snapchat,2265,0.537
420,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,I'm in? College,Linkedin,127,0.03
421,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Instagram,9,0.231
422,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Facebook,6,0.154
423,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Snapchat,22,0.564
424,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Other,Linkedin,2,0.051
425,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Instagram,36,0.22
426,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Facebook,29,0.177
427,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Snapchat,86,0.524
428,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,you vote for? Gary Johnson,Linkedin,13,0.079
429,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? None/Other,Instagram,74,0.228
430,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Custom,Are you? None/Other,Facebook,58,0.178
