User,Percentage,Segment Type,Segment Description,Answer,Count,Question
217,1,University,University of Tennessee,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
218,0,University,University of Tennessee,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
219,0,University,University of Tennessee,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
220,0,University,University of Tennessee,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
221,0,University,Claremont McKenna College,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
222,1,University,Claremont McKenna College,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
223,0,University,Claremont McKenna College,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
224,0,University,Claremont McKenna College,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
225,0,University,University of Oregon,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
226,0,University,University of Oregon,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
227,1,University,University of Oregon,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
228,0,University,University of Oregon,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
229,0.5,University,Chaparral High School,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
230,0,University,Chaparral High School,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
231,0.5,University,Chaparral High School,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
232,0,University,Chaparral High School,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
233,1,University,Syracuse University,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
234,0,University,Syracuse University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
235,0,University,Syracuse University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
236,0,University,Syracuse University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
237,0,University,University of Waterloo,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
238,0,University,University of Waterloo,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
239,1,University,University of Waterloo,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
240,0,University,University of Waterloo,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
241,1,University,Mountain Vista High School,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
242,0,University,Mountain Vista High School,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
243,0,University,Mountain Vista High School,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
244,0,University,Mountain Vista High School,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
245,1,University,Texas State University,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
246,0,University,Texas State University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
247,0,University,Texas State University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
248,0,University,Texas State University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
249,0,University,Southern Illinois University Carbondale,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
250,0,University,Southern Illinois University Carbondale,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
251,1,University,Southern Illinois University Carbondale,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
252,0,University,Southern Illinois University Carbondale,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
253,0,University,George Washington University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
254,1,University,George Washington University,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
255,0,University,George Washington University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
256,0,University,George Washington University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
257,0,University,University of Louisville,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
258,0,University,University of Louisville,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
259,1,University,University of Louisville,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
260,0,University,University of Louisville,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
261,0,University,Southern Methodist University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
262,0,University,Southern Methodist University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
263,1,University,Southern Methodist University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
264,0,University,Southern Methodist University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
265,0,University,University of Minnesota,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
266,0.5,University,University of Minnesota,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
267,0.5,University,University of Minnesota,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
268,0,University,University of Minnesota,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
269,0,University,York University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
270,1,University,York University,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
271,0,University,York University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
272,0,University,York University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
273,0,University,Santa Clara University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
274,0,University,Santa Clara University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
275,0,University,Santa Clara University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
276,1,University,Santa Clara University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
277,0.388,University,Indiana University,Instagram,19,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
278,0.082,University,Indiana University,Facebook,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
279,0.49,University,Indiana University,Snapchat,24,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
280,0.041,University,Indiana University,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
281,0.172,University,"University of California, Berkeley",Instagram,10,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
282,0.241,University,"University of California, Berkeley",Facebook,14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
283,0.552,University,"University of California, Berkeley",Snapchat,32,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
284,0.034,University,"University of California, Berkeley",Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
285,0.205,University,College of William and Mary,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
286,0.308,University,College of William and Mary,Facebook,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
287,0.41,University,College of William and Mary,Snapchat,16,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
288,0.077,University,College of William and Mary,Linkedin,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
289,0.189,University,University of Missouri,Instagram,7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
290,0.243,University,University of Missouri,Facebook,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
291,0.541,University,University of Missouri,Snapchat,20,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
292,0.027,University,University of Missouri,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
293,0.286,University,Virginia Tech,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
294,0.143,University,Virginia Tech,Facebook,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
295,0.571,University,Virginia Tech,Snapchat,16,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
296,0,University,Virginia Tech,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
297,0.318,University,Purdue University,Instagram,7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
298,0.045,University,Purdue University,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
299,0.591,University,Purdue University,Snapchat,13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
300,0.045,University,Purdue University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
301,0.175,University,Appalachian State University,Instagram,7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
302,0.125,University,Appalachian State University,Facebook,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
303,0.675,University,Appalachian State University,Snapchat,27,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
304,0.025,University,Appalachian State University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
305,0.276,University,Emory University,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
306,0.276,University,Emory University,Facebook,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
307,0.414,University,Emory University,Snapchat,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
308,0.034,University,Emory University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
309,0.29,University,University of Arizona,Instagram,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
310,0.129,University,University of Arizona,Facebook,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
311,0.581,University,University of Arizona,Snapchat,18,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
312,0,University,University of Arizona,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
313,0.3,University,Truman State University,Instagram,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
314,0.3,University,Truman State University,Facebook,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
315,0.367,University,Truman State University,Snapchat,11,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
316,0.033,University,Truman State University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
317,0.328,University,University of Wisconsin-Madison,Instagram,21,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
318,0.172,University,University of Wisconsin-Madison,Facebook,11,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
319,0.438,University,University of Wisconsin-Madison,Snapchat,28,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
320,0.063,University,University of Wisconsin-Madison,Linkedin,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
321,0.348,University,Ohio State University,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
322,0.087,University,Ohio State University,Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
323,0.522,University,Ohio State University,Snapchat,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
324,0.043,University,Ohio State University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
325,0.217,Custom,your parents make? $90K-$240k,Instagram,69,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
326,0.186,Custom,your parents make? $90K-$240k,Facebook,59,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
327,0.557,Custom,your parents make? $90K-$240k,Snapchat,177,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
328,0.041,Custom,your parents make? $90K-$240k,Linkedin,13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
329,0.278,Custom,student loan debt? No,Instagram,355,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
330,0.148,Custom,student loan debt? No,Facebook,189,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
331,0.537,Custom,student loan debt? No,Snapchat,685,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
332,0.036,Custom,student loan debt? No,Linkedin,46,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
333,0.238,Custom,student loan debt? Yes,Instagram,145,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
334,0.177,Custom,student loan debt? Yes,Facebook,108,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
335,0.548,Custom,student loan debt? Yes,Snapchat,334,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
336,0.036,Custom,student loan debt? Yes,Linkedin,22,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
337,0.324,Custom,you vote for? Didn't vote,Instagram,66,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
338,0.152,Custom,you vote for? Didn't vote,Facebook,31,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
339,0.49,Custom,you vote for? Didn't vote,Snapchat,100,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
340,0.034,Custom,you vote for? Didn't vote,Linkedin,7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
341,0.245,Custom,your parents make?  < $50K,Instagram,40,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
342,0.104,Custom,your parents make?  < $50K,Facebook,17,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
343,0.62,Custom,your parents make?  < $50K,Snapchat,101,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
344,0.031,Custom,your parents make?  < $50K,Linkedin,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
345,0.26,Custom,you vote for? Writing in Bernie,Instagram,27,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
346,0.192,Custom,you vote for? Writing in Bernie,Facebook,20,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
347,0.519,Custom,you vote for? Writing in Bernie,Snapchat,54,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
348,0.029,Custom,you vote for? Writing in Bernie,Linkedin,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
349,0.236,Custom,you vote for? Hillary Clinton,Instagram,135,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
350,0.212,Custom,you vote for? Hillary Clinton,Facebook,121,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
351,0.519,Custom,you vote for? Hillary Clinton,Snapchat,297,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
352,0.033,Custom,you vote for? Hillary Clinton,Linkedin,19,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
353,0.312,Custom,Graduation Year 2019,Instagram,103,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
354,0.167,Custom,Graduation Year 2019,Facebook,55,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
355,0.494,Custom,Graduation Year 2019,Snapchat,163,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
356,0.027,Custom,Graduation Year 2019,Linkedin,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
357,0.27,Custom,closely identify as? White,Instagram,237,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
358,0.176,Custom,closely identify as? White,Facebook,154,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
359,0.513,Custom,closely identify as? White,Snapchat,450,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
360,0.041,Custom,closely identify as? White,Linkedin,36,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
361,0.268,Custom,Mac or PC? Mac 🖥,Instagram,171,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
362,0.183,Custom,Mac or PC? Mac 🖥,Facebook,117,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
363,0.516,Custom,Mac or PC? Mac 🖥,Snapchat,330,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
364,0.033,Custom,Mac or PC? Mac 🖥,Linkedin,21,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
365,0.274,Custom,I'm in? Post-grad,Instagram,97,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
366,0.209,Custom,I'm in? Post-grad,Facebook,74,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
367,0.48,Custom,I'm in? Post-grad,Snapchat,170,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
368,0.037,Custom,I'm in? Post-grad,Linkedin,13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
369,0.252,Custom,Mac or PC? PC 💻,Instagram,93,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
370,0.163,Custom,Mac or PC? PC 💻,Facebook,60,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
371,0.542,Custom,Mac or PC? PC 💻,Snapchat,200,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
372,0.043,Custom,Mac or PC? PC 💻,Linkedin,16,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
373,0.214,Custom,Graduation Year 2018,Instagram,39,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
374,0.264,Custom,Graduation Year 2018,Facebook,48,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
375,0.473,Custom,Graduation Year 2018,Snapchat,86,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
376,0.049,Custom,Graduation Year 2018,Linkedin,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
377,0.289,Custom,your parents make? > $240K,Instagram,56,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
378,0.186,Custom,your parents make? > $240K,Facebook,36,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
379,0.479,Custom,your parents make? > $240K,Snapchat,93,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
380,0.046,Custom,your parents make? > $240K,Linkedin,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
381,0.5,Custom,is your age? 35 or older,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
382,0.5,Custom,is your age? 35 or older,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
383,0,Custom,is your age? 35 or older,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
384,0,Custom,is your age? 35 or older,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
385,0,Custom,is your age? 31-34,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
386,0,Custom,is your age? 31-34,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
387,1,Custom,is your age? 31-34,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
388,0,Custom,is your age? 31-34,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
389,0.281,Custom,What's your leaning? In-between,Instagram,125,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
390,0.121,Custom,What's your leaning? In-between,Facebook,54,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
391,0.569,Custom,What's your leaning? In-between,Snapchat,253,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
392,0.029,Custom,What's your leaning? In-between,Linkedin,13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
393,0.279,Custom,What's your leaning? Liberal 🔷,Instagram,166,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
394,0.209,Custom,What's your leaning? Liberal 🔷,Facebook,124,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
395,0.48,Custom,What's your leaning? Liberal 🔷,Snapchat,285,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
396,0.032,Custom,What's your leaning? Liberal 🔷,Linkedin,19,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
397,0.248,Custom,What's your leaning? Conservative 🐘,Instagram,102,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
398,0.129,Custom,What's your leaning? Conservative 🐘,Facebook,53,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
399,0.568,Custom,What's your leaning? Conservative 🐘,Snapchat,234,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
400,0.056,Custom,What's your leaning? Conservative 🐘,Linkedin,23,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
401,0.167,Custom,is your age? 25-30,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
402,0.333,Custom,is your age? 25-30,Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
403,0.167,Custom,is your age? 25-30,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
404,0.333,Custom,is your age? 25-30,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
405,0.224,Custom,is your age? 18-24,Instagram,33,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
406,0.197,Custom,is your age? 18-24,Facebook,29,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
407,0.537,Custom,is your age? 18-24,Snapchat,79,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
408,0.041,Custom,is your age? 18-24,Linkedin,6,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
409,0.254,Custom,is your age? 15-17,Instagram,18,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
410,0.113,Custom,is your age? 15-17,Facebook,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
411,0.606,Custom,is your age? 15-17,Snapchat,43,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
412,0.028,Custom,is your age? 15-17,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
413,0.5,Custom,is your age? 14 or younger,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
414,0,Custom,is your age? 14 or younger,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
415,0.5,Custom,is your age? 14 or younger,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
416,0,Custom,is your age? 14 or younger,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
417,0.265,Custom,I'm in? College,Instagram,1116,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
418,0.169,Custom,I'm in? College,Facebook,711,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
419,0.537,Custom,I'm in? College,Snapchat,2265,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
420,0.03,Custom,I'm in? College,Linkedin,127,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
421,0.231,Custom,you vote for? Other,Instagram,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
422,0.154,Custom,you vote for? Other,Facebook,6,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
423,0.564,Custom,you vote for? Other,Snapchat,22,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
424,0.051,Custom,you vote for? Other,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
